spot,x,y,luminosity,error,T,v,v_fin,phase,detected
45.0,642.21,919.71,69.2164,2.27891,20.0,58.3,7.0,annealing_T=75_h=5,True
45.0,637.99,918.35,65.3563,2.14101,20.0,58.3,7.0,before_annealing,True
46.0,646.79,444.74,50.1816,2.22665,20.0,58.3,7.0,annealing_T=100_h=5,True
46.0,650.47,441.34,105.618,3.09339,20.0,58.3,7.0,annealing_T=75_h=25,True
46.0,652.85,443.35,197.103,3.41025,20.0,58.3,7.0,annealing_T=75_h=5,True
46.0,649.34,441.92,216.017,3.45571,20.0,58.3,7.0,before_annealing,True
47.0,648.37,577.69,1510.18,7.34689,20.0,58.3,7.0,annealing_T=100_h=5,True
47.0,653.17,574.33,2923.32,9.20443,20.0,58.3,7.0,annealing_T=75_h=25,True
47.0,654.67,576.25,3578.86,9.86545,20.0,58.3,7.0,annealing_T=75_h=5,True
47.0,650.88,575.05,3106.74,8.77063,20.0,58.3,7.0,before_annealing,True
48.0,659.0,692.72,107.632,3.32072,20.0,58.3,7.0,annealing_T=100_h=5,True
48.0,664.91,689.3,105.346,2.94523,20.0,58.3,7.0,annealing_T=75_h=25,True
48.0,665.5,691.26,107.539,3.4274,20.0,58.3,7.0,annealing_T=75_h=5,True
48.0,661.87,689.91,195.157,3.76941,20.0,58.3,7.0,before_annealing,True
49.0,670.88,907.01,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
49.0,675.8,906.39,32.1821,2.06662,20.0,58.3,7.0,annealing_T=75_h=25,True
49.0,675.07,908.25,72.6738,2.27803,20.0,58.3,7.0,annealing_T=75_h=5,True
49.0,670.88,907.01,102.063,2.44883,20.0,58.3,7.0,before_annealing,True
50.0,699.56,367.3,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
50.0,699.56,367.3,0.0,0.0,20.0,58.3,7.0,annealing_T=75_h=25,False
50.0,702.71,368.44,37.7435,2.64174,20.0,58.3,7.0,annealing_T=75_h=5,True
50.0,699.56,367.3,40.3231,2.68203,20.0,58.3,7.0,before_annealing,True
51.0,748.31,41.38,10052.3,19.8151,20.0,58.3,7.0,annealing_T=100_h=5,True
51.0,748.69,37.3,13070.0,29.5375,20.0,58.3,7.0,annealing_T=75_h=25,True
