spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,v_fin,deltaL1,deltaL2,deltaL,B,B_stat_error,deltaB,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
10,355.75,845.56,59.1889,1.5656,20.0,55.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.7473408368146344,annealing_T=75_h=25,20260530-001924,phase_detection,4.0,3.8169,0.8911,3.8169,2.17857,0.0318442,0.124709,2.95344,0.168348,52.704,4,13.176,0,3,3.71545e-08,1
10,355.75,845.56,105.006,1.56294,20.0,56.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.7473408368146344,annealing_T=75_h=25,20260530-001924,phase_detection,5.0,1.204,0.422,1.204,2.17857,0.0318442,0.124709,2.95344,0.168348,52.704,4,13.176,0,3,3.71545e-08,1
10,355.75,845.56,201.857,2.09975,20.0,58.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.7473408368146344,annealing_T=75_h=25,20260530-001924,phase_detection,7.0,8.126,11.237,11.237,2.17857,0.0318442,0.124709,2.95344,0.168348,52.704,4,13.176,0,3,3.71545e-08,1
11,374.33,368.39,3.33359,0.775308,20.0,52.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.4526183256450649,annealing_T=75_h=25,20260530-001924,phase_detection,1.0,2.31514,2.99134,2.99134,2.52034,0.0281616,0.142475,1.42211,0.0730537,9.77903,4,2.44476,0,3,2.6833e-09,1
11,374.33,368.39,8.1414,0.863215,20.0,53.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.4526183256450649,annealing_T=75_h=25,20260530-001924,phase_detection,2.0,4.01358,1.47594,4.01358,2.52034,0.0281616,0.142475,1.42211,0.0730537,9.77903,4,2.44476,0,3,2.6833e-09,1
11,374.33,368.39,24.1609,0.977526,20.0,54.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.4526183256450649,annealing_T=75_h=25,20260530-001924,phase_detection,3.0,0.8946,3.3456,3.3456,2.52034,0.0281616,0.142475,1.42211,0.0730537,9.77903,4,2.44476,0,3,2.6833e-09,1
11,374.33,368.39,45.972,1.00464,20.0,55.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.4526183256450649,annealing_T=75_h=25,20260530-001924,phase_detection,4.0,3.9935,1.8482,3.9935,2.52034,0.0281616,0.142475,1.42211,0.0730537,9.77903,4,2.44476,0,3,2.6833e-09,1
11,374.33,368.39,81.259,1.20485,20.0,56.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.4526183256450649,annealing_T=75_h=25,20260530-001924,phase_detection,5.0,4.0637,4.4318,4.4318,2.52034,0.0281616,0.142475,1.42211,0.0730537,9.77903,4,2.44476,0,3,2.6833e-09,1
11,374.33,368.39,192.353,1.46153,20.0,58.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.4526183256450649,annealing_T=75_h=25,20260530-001924,phase_detection,7.0,6.201,6.93,6.93,2.52034,0.0281616,0.142475,1.42211,0.0730537,9.77903,4,2.44476,0,3,2.6833e-09,1
12,414.66,946.82,24.192,1.02391,20.0,52.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,2.2051077071199123,annealing_T=75_h=25,20260530-001924,phase_detection,1.0,2.9874,0.8452,2.9874,1.66465,0.0104521,0.0233771,15.1719,0.269168,291.206,4,72.8015,0,3,9.23911e-07,1
