spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,v_fin,deltaL1,deltaL2,deltaL,B,B_stat_error,deltaB,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
7,237.11,244.17,304.448,1.01136,20.0,54.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,3.0,4.894,0.361,4.894,2.07281,0.00388364,0.0691579,30.9177,0.187462,4391.43,4,1097.86,0,3,7.4787e-06,1
7,237.11,244.17,528.921,1.26334,20.0,55.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,4.0,1.532,5.586,5.586,2.07281,0.00388364,0.0691579,30.9177,0.187462,4391.43,4,1097.86,0,3,7.4787e-06,1
7,237.11,244.17,804.151,1.82633,20.0,56.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,5.0,12.705,18.27,18.27,2.07281,0.00388364,0.0691579,30.9177,0.187462,4391.43,4,1097.86,0,3,7.4787e-06,1
7,237.11,244.17,1903.41,4.16901,20.0,58.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,7.0,33.53,38.94,38.94,2.07281,0.00388364,0.0691579,30.9177,0.187462,4391.43,4,1097.86,0,3,7.4787e-06,1
8,253.66,351.3,11.3717,0.944196,20.0,52.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,1.0,0.9619,1.0856,1.0856,2.43487,0.0145036,0.0738004,4.57591,0.118256,277.444,4,69.361,0,3,1.94536e-07,1
8,253.66,351.3,25.3144,1.1692,20.0,53.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,2.0,6.4811,3.0996,6.4811,2.43487,0.0145036,0.0738004,4.57591,0.118256,277.444,4,69.361,0,3,1.94536e-07,1
8,253.66,351.3,76.9662,1.28103,20.0,54.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,3.0,3.754,0.3164,3.754,2.43487,0.0145036,0.0738004,4.57591,0.118256,277.444,4,69.361,0,3,1.94536e-07,1
8,253.66,351.3,137.418,1.46241,20.0,55.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,4.0,1.829,0.032,1.829,2.43487,0.0145036,0.0738004,4.57591,0.118256,277.444,4,69.361,0,3,1.94536e-07,1
8,253.66,351.3,212.5,1.55768,20.0,56.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,5.0,3.474,2.072,3.474,2.43487,0.0145036,0.0738004,4.57591,0.118256,277.444,4,69.361,0,3,1.94536e-07,1
8,253.66,351.3,533.146,2.35271,20.0,58.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,7.0,21.159,15.69,21.159,2.43487,0.0145036,0.0738004,4.57591,0.118256,277.444,4,69.361,0,3,1.94536e-07,1
