spot,x,y,luminosity,error,T,v
95,1341.54,625.5,115.461,9.73835,19,5
95,1341.54,625.5,128.311,10.5223,21,5
95,1341.54,625.5,142.531,10.7274,23,5
96,1374.31,628.74,42.0238,5.91194,17,5
96,1374.31,628.74,44.333,6.00709,19,5
96,1374.31,628.74,51.8838,6.55386,21,5
96,1374.31,628.74,63.3227,6.69621,23,5
97,1377.91,810.34,145.749,11.776,17,5
97,1377.91,810.34,169.371,12.4324,19,5
97,1377.91,810.34,209.287,13.3546,21,5
97,1377.91,810.34,239.191,13.9822,23,5
98,1382.17,911.83,105.154,10.2878,17,5
98,1382.17,911.83,116.808,10.4576,19,5
98,1382.17,911.83,136.985,10.9173,21,5
98,1382.17,911.83,147.304,11.096,23,5
99,1387.61,116.84,21.573,6.01987,17,5
99,1387.61,116.84,25.3766,5.73199,19,5
99,1387.61,116.84,33.6162,6.40608,21,5
99,1387.61,116.84,44.6391,6.42407,23,5
100,1389.41,371.12,23.0433,4.83738,17,5
100,1389.41,371.12,27.5967,4.85924,19,5
100,1389.41,371.12,32.633,5.1044,21,5
100,1389.41,371.12,37.1099,4.9734,23,5
101,1405.21,205.49,112.565,12.4727,17,5
101,1405.21,205.49,128.203,11.5556,19,5
101,1405.21,205.49,148.364,12.3044,21,5
101,1405.21,205.49,153.488,12.8781,23,5
102,1427.24,351.06,22.0458,4.51633,17,5
102,1427.24,351.06,30.3499,4.44085,19,5
102,1427.24,351.06,35.2481,4.84555,21,5
102,1427.24,351.06,41.0512,5.09883,23,5
103,1450.13,1003.43,1518.64,35.0672,17,5
103,1450.13,1003.43,1725.42,37.4866,19,5
103,1450.13,1003.43,1660.81,37.9725,21,5
103,1450.13,1003.43,1914.83,38.6713,23,5
104,1465.56,18.12,28.4932,5.43383,17,5
104,1465.56,18.12,36.3259,5.48646,19,5
104,1465.56,18.12,40.6181,5.87521,21,5
104,1465.56,18.12,48.8179,5.94114,23,5
105,1488.66,1042.93,509.954,20.284,17,5
105,1488.66,1042.93,584.361,21.3174,19,5
105,1488.66,1042.93,682.503,23.1033,21,5
105,1488.66,1042.93,773.365,22.917,23,5
106,1500.34,506.58,415.7,25.7579,17,5
106,1500.34,506.58,504.863,25.3778,19,5
106,1500.34,506.58,563.473,27.9763,21,5
106,1500.34,506.58,626.119,28.2864,23,5
107,1505.34,1040.62,87.8572,10.9894,17,5
107,1505.34,1040.62,191.448,12.3593,19,5
107,1505.34,1040.62,171.805,13.7729,21,5
107,1505.34,1040.62,215.387,13.9308,23,5
108,1505.41,198.96,48.8457,6.31252,17,5
108,1505.41,198.96,60.3448,6.95324,19,5
108,1505.41,198.96,70.9064,7.63394,21,5
108,1505.41,198.96,81.4534,7.42878,23,5
109,1508.46,861.98,115.753,9.7987,17,5
109,1508.46,861.98,131.39,9.84711,19,5
109,1508.46,861.98,163.14,11.0097,21,5
109,1508.46,861.98,184.458,10.9224,23,5
110,1537.12,763.08,24.6583,4.61055,17,5
110,1537.12,763.08,32.9544,4.66271,19,5
110,1537.12,763.08,33.7064,5.1775,21,5
110,1537.12,763.08,43.9667,5.28645,23,5
111,1537.16,136.0,33.1224,4.98015,17,5
111,1537.16,136.0,40.1359,4.88569,19,5
111,1537.16,136.0,49.2648,5.50042,21,5
111,1537.16,136.0,58.7124,5.69115,23,5
112,1538.96,403.3,28.8273,4.97399,17,5
112,1538.96,403.3,31.8149,5.13992,19,5
112,1538.96,403.3,36.7224,5.591,21,5
112,1538.96,403.3,42.9822,5.65506,23,5
113,1550.16,707.84,236.161,13.5352,17,5
113,1550.16,707.84,273.599,14.2687,19,5
113,1550.16,707.84,315.284,15.3552,21,5
113,1550.16,707.84,368.112,15.3258,23,5
114,1559.13,206.58,295.134,23.4299,17,5
114,1559.13,206.58,282.006,21.3289,19,5
114,1559.13,206.58,263.145,17.7841,21,5
114,1559.13,206.58,358.113,20.517,23,5
115,1576.14,166.78,104.04,10.0995,17,5
115,1576.14,166.78,106.536,10.1348,19,5
115,1576.14,166.78,132.218,11.3372,21,5
115,1576.14,166.78,154.373,11.6694,23,5
116,1586.84,924.17,440.09,17.5293,17,5
116,1586.84,924.17,503.005,18.295,19,5
116,1586.84,924.17,573.128,19.5539,21,5
116,1586.84,924.17,648.596,19.8242,23,5
117,1588.59,649.28,22.3699,3.71614,17,5
117,1588.59,649.28,26.6391,4.02912,19,5
117,1588.59,649.28,32.3056,4.44543,21,5
117,1588.59,649.28,35.3299,4.39155,23,5
118,1590.08,807.96,11.2639,2.81006,17,5
118,1590.08,807.96,14.1799,2.80723,19,5
118,1590.08,807.96,18.3171,3.51755,21,5
118,1590.08,807.96,20.8343,3.30197,23,5
119,1598.15,42.47,31.1517,4.69483,17,5
119,1598.15,42.47,35.1962,4.564,19,5
119,1598.15,42.47,36.5914,5.08865,21,5
119,1598.15,42.47,46.8023,5.07339,23,5
120,1599.67,201.18,46.0856,7.25612,17,5
120,1599.67,201.18,52.6824,7.54117,19,5
120,1599.67,201.18,69.1133,7.90822,21,5
120,1599.67,201.18,74.3722,7.86783,23,5
121,1622.21,702.87,8.33391,2.26173,17,5
121,1622.21,702.87,11.0,2.46608,19,5
121,1622.21,702.87,14.2821,2.6945,21,5
121,1622.21,702.87,16.4128,2.65999,23,5
122,1624.23,985.56,689.411,22.3768,17,5
122,1624.23,985.56,788.031,23.3503,19,5
122,1624.23,985.56,880.887,24.8834,21,5
122,1624.23,985.56,1017.47,24.9678,23,5
123,1624.21,909.83,1078.91,32.1497,17,5
123,1624.21,909.83,1265.32,36.24,19,5
123,1624.21,909.83,1507.86,35.7085,21,5
123,1624.21,909.83,1745.06,37.4114,23,5
124,1650.04,877.92,648.434,24.0908,17,5
124,1650.04,877.92,667.321,26.1814,19,5
124,1650.04,877.92,803.42,27.7125,21,5
