spot,x,y,luminosity,error,T,v,v_fin,phase,detected
42,609.59,337.59,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=25,False
42,608.99,337.57,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
42,609.59,337.59,32.2719,4.4338,20.0,58.3,7.0,annealing_T=75_h=25,True
42,612.31,339.07,31.3786,4.47403,20.0,58.3,7.0,annealing_T=75_h=5,True
42,608.99,337.57,27.7955,4.33908,20.0,58.3,7.0,before_annealing,True
43,608.38,1037.29,48.7005,2.30919,20.0,58.3,7.0,annealing_T=100_h=25,True
43,610.25,1037.24,62.6065,7.06576,20.0,58.3,7.0,annealing_T=100_h=5,True
43,618.72,1034.88,62.9231,7.97102,20.0,58.3,7.0,annealing_T=75_h=25,True
43,617.32,1036.43,49.0165,6.30367,20.0,58.3,7.0,annealing_T=75_h=5,True
43,612.04,1035.03,55.8756,6.67603,20.0,58.3,7.0,before_annealing,True
44,628.32,56.47,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=25,False
44,630.41,56.68,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
44,628.32,56.47,603.736,22.8804,20.0,58.3,7.0,annealing_T=75_h=25,True
44,632.87,58.18,706.728,24.3921,20.0,58.3,7.0,annealing_T=75_h=5,True
44,630.41,56.68,671.32,24.2899,20.0,58.3,7.0,before_annealing,True
45,634.61,921.19,81.1233,3.18676,20.0,58.3,7.0,annealing_T=100_h=25,True
45,635.56,921.19,138.371,10.8384,20.0,58.3,7.0,annealing_T=100_h=5,True
45,642.79,917.79,114.781,9.42871,20.0,58.3,7.0,annealing_T=75_h=25,True
45,642.21,919.71,69.2164,6.36915,20.0,58.3,7.0,annealing_T=75_h=5,True
45,637.99,918.35,65.3563,6.05818,20.0,58.3,7.0,before_annealing,True
46,646.07,444.43,54.2065,2.68661,20.0,58.3,7.0,annealing_T=100_h=25,True
46,646.79,444.74,50.1816,5.66403,20.0,58.3,7.0,annealing_T=100_h=5,True
46,650.47,441.34,105.618,10.0828,20.0,58.3,7.0,annealing_T=75_h=25,True
46,652.85,443.35,197.103,12.2095,20.0,58.3,7.0,annealing_T=75_h=5,True
46,649.34,441.92,216.017,13.1302,20.0,58.3,7.0,before_annealing,True
47,647.39,577.92,826.913,6.10886,20.0,58.3,7.0,annealing_T=100_h=25,True
47,648.37,577.69,1510.18,46.031,20.0,58.3,7.0,annealing_T=100_h=5,True
47,653.17,574.33,2923.32,69.4864,20.0,58.3,7.0,annealing_T=75_h=25,True
47,654.67,576.25,3578.86,76.5345,20.0,58.3,7.0,annealing_T=75_h=5,True
47,650.88,575.05,3106.74,66.4988,20.0,58.3,7.0,before_annealing,True
48,658.18,692.53,44.36,3.01484,20.0,58.3,7.0,annealing_T=100_h=25,True
48,659.0,692.72,107.632,9.62192,20.0,58.3,7.0,annealing_T=100_h=5,True
48,664.91,689.3,105.346,8.95816,20.0,58.3,7.0,annealing_T=75_h=25,True
48,665.5,691.26,107.539,10.0608,20.0,58.3,7.0,annealing_T=75_h=5,True
48,661.87,689.91,195.157,13.0908,20.0,58.3,7.0,before_annealing,True
49,675.8,906.39,0.0,3.8,20.0,58.3,7.0,annealing_T=100_h=25,False
49,670.88,907.01,0.0,4.1,20.0,58.3,7.0,annealing_T=100_h=5,False
49,675.8,906.39,32.1821,4.62464,20.0,58.3,7.0,annealing_T=75_h=25,True
49,675.07,908.25,72.6738,6.42449,20.0,58.3,7.0,annealing_T=75_h=5,True
49,670.88,907.01,102.063,7.87832,20.0,58.3,7.0,before_annealing,True
50,702.71,368.44,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=25,False
50,699.56,367.3,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
50,699.56,367.3,0.0,0.0,20.0,58.3,7.0,annealing_T=75_h=25,False
50,702.71,368.44,37.7435,5.64087,20.0,58.3,7.0,annealing_T=75_h=5,True
50,699.56,367.3,40.3231,6.17298,20.0,58.3,7.0,before_annealing,True
51,747.85,41.48,9707.58,20.475,20.0,58.3,7.0,annealing_T=100_h=25,True
51,748.31,41.38,10052.3,177.102,20.0,58.3,7.0,annealing_T=100_h=5,True
51,748.69,37.3,13070.0,237.145,20.0,58.3,7.0,annealing_T=75_h=25,True
51,753.34,39.78,13398.7,220.991,20.0,58.3,7.0,annealing_T=75_h=5,True
51,750.89,38.68,12373.1,224.306,20.0,58.3,7.0,before_annealing,True
52,790.05,677.64,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=25,False
52,786.42,676.82,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
52,786.42,676.82,0.0,0.0,20.0,58.3,7.0,annealing_T=75_h=25,False
52,790.05,677.64,30.2985,3.94607,20.0,58.3,7.0,annealing_T=75_h=5,True
52,786.42,676.82,60.0577,6.89343,20.0,58.3,7.0,before_annealing,True
53,787.69,253.52,26.4597,1.85238,20.0,58.3,7.0,annealing_T=100_h=25,True
53,788.23,253.25,42.3598,4.92515,20.0,58.3,7.0,annealing_T=100_h=5,True
53,790.36,249.14,63.7866,7.9985,20.0,58.3,7.0,annealing_T=75_h=25,True
53,793.7,251.72,107.891,8.9882,20.0,58.3,7.0,annealing_T=75_h=5,True
53,790.65,251.21,132.187,11.1168,20.0,58.3,7.0,before_annealing,True
54,802.37,196.83,300.221,4.3782,20.0,58.3,7.0,annealing_T=100_h=25,True
54,803.04,196.98,446.838,21.5255,20.0,58.3,7.0,annealing_T=100_h=5,True
54,804.8,192.51,516.367,23.0214,20.0,58.3,7.0,annealing_T=75_h=25,True
54,808.37,195.28,513.825,23.7463,20.0,58.3,7.0,annealing_T=75_h=5,True
54,805.56,194.4,543.182,22.2496,20.0,58.3,7.0,before_annealing,True
55,805.36,591.09,188.133,4.05959,20.0,58.3,7.0,annealing_T=100_h=25,True
55,806.18,590.94,237.257,14.1249,20.0,58.3,7.0,annealing_T=100_h=5,True
55,811.23,587.17,526.762,25.658,20.0,58.3,7.0,annealing_T=75_h=25,True
55,812.63,589.91,537.362,24.4498,20.0,58.3,7.0,annealing_T=75_h=5,True
55,808.75,588.99,649.359,28.6353,20.0,58.3,7.0,before_annealing,True
56,812.36,318.84,309.619,4.91915,20.0,58.3,7.0,annealing_T=100_h=25,True
56,813.13,318.7,166.325,12.7552,20.0,58.3,7.0,annealing_T=100_h=5,True
56,815.45,314.18,168.754,12.6972,20.0,58.3,7.0,annealing_T=75_h=25,True
56,818.61,316.9,123.415,11.2013,20.0,58.3,7.0,annealing_T=75_h=5,True
56,815.32,316.23,117.38,10.2273,20.0,58.3,7.0,before_annealing,True
57,827.77,671.59,102.384,3.41296,20.0,58.3,7.0,annealing_T=100_h=25,True
57,828.55,671.55,170.856,12.113,20.0,58.3,7.0,annealing_T=100_h=5,True
57,833.83,667.0,471.435,21.2251,20.0,58.3,7.0,annealing_T=75_h=25,True
57,834.73,669.89,440.639,18.9117,20.0,58.3,7.0,annealing_T=75_h=5,True
57,830.8,669.14,381.296,18.3309,20.0,58.3,7.0,before_annealing,True
58,828.55,828.86,23.02,1.94567,20.0,58.3,7.0,annealing_T=100_h=25,True
58,829.35,828.95,47.6571,6.26899,20.0,58.3,7.0,annealing_T=100_h=5,True
58,835.91,824.54,56.544,6.21084,20.0,58.3,7.0,annealing_T=75_h=25,True
58,835.92,827.76,53.9618,4.54869,20.0,58.3,7.0,annealing_T=75_h=5,True
58,831.89,826.74,54.2519,6.3466,20.0,58.3,7.0,before_annealing,True
59,829.4,888.31,1950.9,7.90631,20.0,58.3,7.0,annealing_T=100_h=25,True
59,830.35,888.12,2303.72,47.8145,20.0,58.3,7.0,annealing_T=100_h=5,True
59,837.53,883.42,2358.04,48.7427,20.0,58.3,7.0,annealing_T=75_h=25,True
59,837.08,886.41,3148.22,56.0671,20.0,58.3,7.0,annealing_T=75_h=5,True
59,832.58,885.53,3173.55,56.7154,20.0,58.3,7.0,before_annealing,True
60,848.17,888.7,49.8951,2.82646,20.0,58.3,7.0,annealing_T=100_h=25,True
60,848.84,888.12,85.8216,9.89826,20.0,58.3,7.0,annealing_T=100_h=5,True
60,855.71,883.81,88.1404,10.0475,20.0,58.3,7.0,annealing_T=75_h=25,True
60,855.04,886.73,103.899,9.88813,20.0,58.3,7.0,annealing_T=75_h=5,True
60,850.95,885.71,129.745,12.7309,20.0,58.3,7.0,before_annealing,True
61,856.24,477.51,29.0803,1.69431,20.0,58.3,7.0,annealing_T=100_h=25,True
61,857.39,477.36,108.473,9.37314,20.0,58.3,7.0,annealing_T=100_h=5,True
61,861.36,472.41,108.417,10.0081,20.0,58.3,7.0,annealing_T=75_h=25,True
61,863.05,475.62,214.706,12.9803,20.0,58.3,7.0,annealing_T=75_h=5,True
61,859.74,474.9,202.554,12.3201,20.0,58.3,7.0,before_annealing,True
